CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
312720,NA,1,2025,49655.05
312720,NA,1,2025,45694109.01
312720,NA,1,2025,232493.52
312720,NA,1,2025,67976.03
312720,NA,1,2025,15287999.74
312720,NA,1,2025,11063.14
312720,NA,1,2025,2797047.64
312720,NA,1,2025,3109361.9
312720,NA,1,2025,150695.5
312720,NA,1,2025,7259887.92
312720,NA,1,2025,7791124.62
312720,NA,1,2025,1275.88
312720,NA,1,2025,2334395.58
312720,NA,1,2025,2334395.58
312720,NA,1,2025,1383895.56
312720,NA,1,2025,20075.45
312720,NA,1,2025,20171.45
312720,NA,1,2025,106933.92
312720,NA,1,2025,106933.92
312720,NA,1,2025,12930.42
312720,NA,1,2025,13930.42
312720,NA,1,2025,838725.67
312720,NA,1,2025,840176.43
312720,NA,1,2025,2760.0
312720,NA,1,2025,2760.0
313211,NA,1,2025,30513316.65
313211,NA,1,2025,5413427.55
313211,NA,1,2025,5413427.55
313211,NA,1,2025,5245830.89
313211,NA,1,2025,106145.19
313211,NA,1,2025,110298.89
313211,NA,1,2025,1004880.92
313211,NA,1,2025,1050158.51
313211,NA,1,2025,178.29
313211,NA,1,2025,178.29
313211,NA,1,2025,103164.85
313211,NA,1,2025,105271.99
313211,NA,1,2025,84144.25
313211,NA,1,2025,84144.25
313211,NA,1,2025,3474760.85
313211,NA,1,2025,4086235.43
313211,NA,1,2025,5884.43
313211,NA,1,2025,5884.43
313211,NA,1,2025,18357.18
313211,NA,1,2025,63203.45
313211,NA,1,2025,21.1
313211,NA,1,2025,21.1
313211,NA,1,2025,5306.43
313211,NA,1,2025,5306.43
313211,NA,1,2025,442987.4
313211,NA,1,2025,442987.4
313211,NA,1,2025,167596.66
313211,NA,1,2025,2695.19
313211,NA,1,2025,63113.89
313211,NA,1,2025,24657.15
313211,NA,1,2025,332790.82
313211,NA,1,2025,126369.34
313211,NA,1,2025,2054615.23
313211,NA,1,2025,2756.82
313211,NA,1,2025,13874.98
313211,NA,1,2025,22365.26
313211,NA,1,2025,14796656.22
314099,NA,1,2025,154328.48
314099,NA,1,2025,362409.1
314099,NA,1,2025,231768.69
314099,NA,1,2025,231768.69
314099,NA,1,2025,231378.69
314099,NA,1,2025,23914.11
314099,NA,1,2025,34891.0
314099,NA,1,2025,18648.82
314099,NA,1,2025,25248.5
314099,NA,1,2025,188815.76
314099,NA,1,2025,263717.41
314099,NA,1,2025,390.0
314099,NA,1,2025,390.0
314099,NA,1,2025,14390.0
314099,NA,1,2025,433267.71
314099,NA,1,2025,433267.71
314099,NA,1,2025,416973.94
314099,NA,1,2025,39283.42
314099,NA,1,2025,39283.42
314099,NA,1,2025,115406.7
314099,NA,1,2025,115406.7
314099,NA,1,2025,262283.82
314099,NA,1,2025,262283.82
314099,NA,1,2025,16293.77
314099,NA,1,2025,16293.77
314099,NA,1,2025,16293.77
314251,NA,1,2025,17698031.15
314251,NA,1,2025,12063241.77
314251,NA,1,2025,12063241.77
314251,NA,1,2025,12063241.77
314251,NA,1,2025,12063241.77
314251,NA,1,2025,12382478.13
314251,NA,1,2025,79449.69
314251,NA,1,2025,3849194.12
314251,NA,1,2025,3849194.12
314251,NA,1,2025,3849194.12
314251,NA,1,2025,3849194.12
314251,NA,1,2025,3865081.59
314251,NA,1,2025,1525581.09
314251,NA,1,2025,1525581.09
314251,NA,1,2025,1525581.09
314251,NA,1,2025,1525581.09
314251,NA,1,2025,1649937.95
314251,NA,1,2025,230537.89
314251,NA,1,2025,230537.89
314251,NA,1,2025,230537.89
314251,NA,1,2025,230537.89
314251,NA,1,2025,286634.33
314251,NA,1,2025,29476.28
314251,NA,1,2025,29476.28
314251,NA,1,2025,29476.28
314251,NA,1,2025,29476.28
314251,NA,1,2025,29476.28
315648,NA,1,2025,4254.8
315648,NA,1,2025,198811.86
315648,NA,1,2025,198811.86
315648,NA,1,2025,3231.22
315648,NA,1,2025,3231.22
315648,NA,1,2025,1509866.4
315648,NA,1,2025,1509866.4
315648,NA,1,2025,18465.64
315648,NA,1,2025,18465.64
315648,NA,1,2025,18465.64
315648,NA,1,2025,15556.22
315648,NA,1,2025,15556.22
315648,NA,1,2025,73.2
315648,NA,1,2025,73.2
315648,NA,1,2025,1117.18
315648,NA,1,2025,1117.18
315648,NA,1,2025,906.1
315648,NA,1,2025,906.1
315648,NA,1,2025,332.7
315648,NA,1,2025,332.7
315648,NA,1,2025,480.24
315648,NA,1,2025,480.24
315648,NA,1,2025,43848.03
315648,NA,1,2025,43848.03
315648,NA,1,2025,43848.03
315648,NA,1,2025,43848.03
315648,NA,1,2025,60147.57
315648,NA,1,2025,238500.0
315648,NA,1,2025,238500.0
315648,NA,1,2025,238500.0
315648,NA,1,2025,238500.0
315648,NA,1,2025,238500.0
312720,NA,1,2025,402470.1
312720,NA,1,2025,410896.83
312720,NA,1,2025,950500.02
312720,NA,1,2025,800574.41
312720,NA,1,2025,822341.43
312720,NA,1,2025,150225.61
312720,NA,1,2025,150225.61
312720,NA,1,2025,436213.37
312720,NA,1,2025,436213.37
312720,NA,1,2025,406245.49
312720,NA,1,2025,19237.01
